names	uris
Baron, Paul, 1933-	http://id.loc.gov/authorities/names/n88622816
Barouh, Pierre, 1934-	http://id.loc.gov/authorities/names/no2008004735
Keller, Jerry	http://id.loc.gov/authorities/names/n94075226
Barrackman, D. A.	
Barrère, Georges, 1876-1944	http://id.loc.gov/authorities/names/n88116033
Barri, Odoardo, 1844-1920	http://id.loc.gov/authorities/names/no2007124560
Barris, Harry, 1905-1962	http://id.loc.gov/authorities/names/no93013926
Barron, Ted S., 1879-1943	http://id.loc.gov/authorities/names/no2003016991
Barrow, Percy J.	
Barry, Frank E.	http://id.loc.gov/authorities/names/no2003036626
Barry, Jeff	http://id.loc.gov/authorities/names/n92110624
Barry, John, 1933-2011	http://id.loc.gov/authorities/names/n82020007
Bart, Lionel	http://id.loc.gov/authorities/names/no92004319
Barth, Con	
Barth, John F. (John Frederic)	http://id.loc.gov/authorities/names/no2008039989
Bartholomae, Philip	http://id.loc.gov/authorities/names/n2008072873
Bartlett, Floy Little	http://id.loc.gov/authorities/names/nb2001020081
Bartlett, Homer N. (Homer Newton), 1845-1920	http://id.loc.gov/authorities/names/no92003130
Bartlett, J. C. (James Carroll), 1850-1929	http://id.loc.gov/authorities/names/n97066358
Bartlett, Victor	
Barton, George H.	
Bartos, Leon H.	
Baruch, Yvette	
Baskette, Billy	http://id.loc.gov/authorities/names/n93013775
Bassett, Karolyn Wells	http://id.loc.gov/authorities/names/no2007047195
Bassford, W. K. (William Kipp), 1839-1902	http://id.loc.gov/authorities/names/no99036759
Bassman, George, 1914-1997	http://id.loc.gov/authorities/names/n85138306
Bates, Arlo, 1850-1918	http://id.loc.gov/authorities/names/n50025793
Battersby, Caryl	
Bauer, Marion, 1882-1955	http://id.loc.gov/authorities/names/n81017266
Bauer, Rolf	http://id.loc.gov/authorities/names/n92015499
Bäuerle, Hermann, 1869-1936	http://id.loc.gov/authorities/names/no94006639
Baumgartner, H. Leroy (Hope Leroy), 1891-1969	http://id.loc.gov/authorities/names/no91023835
Baxter, Phil, 1896-1972	http://id.loc.gov/authorities/names/no2003128835
Bayes, Nora, 1880-1928	http://id.loc.gov/authorities/names/n92047343
Bayley, Kathryn	
Bayly, Thomas Haynes, 1797-1839	http://id.loc.gov/authorities/names/n79055355
Bazelaire, Paul, 1886-1958	http://id.loc.gov/authorities/names/n82108005
Beach, H. H. A., Mrs., 1867-1944	http://id.loc.gov/authorities/names/n81018433
Beadell, Eily	http://id.loc.gov/authorities/names/no2011061259
Bean, Carl	http://id.loc.gov/authorities/names/no93022816
Beardsley, Aubrey, 1872-1898	http://id.loc.gov/authorities/names/n80036714
Beatty-Kingston, W. (William), 1837-1900	http://id.loc.gov/authorities/names/n83051485
Beaudry, R.	http://id.loc.gov/authorities/names/nr91005513
Beaumont, Paul	http://id.loc.gov/authorities/names/no99040323
Bécaud, Gilbert, 1927-2001	http://id.loc.gov/authorities/names/n83068016
Bechet, Sidney, 1897-1959	http://id.loc.gov/authorities/names/n81097894
Bechter, Karl	
Beck, Martha	http://id.loc.gov/authorities/names/nb2001020087
Becker, Hugo, 1863-1941	http://id.loc.gov/authorities/names/n81132096
Becker, René L. (René Louis), 1882-1956	http://id.loc.gov/authorities/names/no96039467
Beddoes, Thomas Lovell, 1803-1849	http://id.loc.gov/authorities/names/n50006944
Beebe, Hank	http://id.loc.gov/authorities/names/n94090926
Beeson, Jack, 1921-2010	http://id.loc.gov/authorities/names/n80019660
Beethoven, Ludwig van, 1770-1827	http://id.loc.gov/authorities/names/n79107741
Behr, Franz, 1837-1898	http://id.loc.gov/authorities/names/no00035278
Beiner, Art. L. (Arthur L.)	http://id.loc.gov/authorities/names/no2004042615
Beirly, Alfred	http://id.loc.gov/authorities/names/no2010153388
Belding, Harry	http://id.loc.gov/authorities/names/no98119946
Belfils, Kamie	
Bell, Thom	http://id.loc.gov/authorities/names/n94035990
Bellak, Ja's (James)	http://id.loc.gov/authorities/names/n89636795
Bellini, Vincenzo, 1801-1835	http://id.loc.gov/authorities/names/n80122768
Belloc, Hilaire, 1870-1953	http://id.loc.gov/authorities/names/n80046751
Bellstedt, Herman	http://id.loc.gov/authorities/names/n92003452
Beltrán Ruiz, Pablo	http://id.loc.gov/authorities/names/n2006073680
Bemberg, H. (Herman), 1859-1931	http://id.loc.gov/authorities/names/no93005391
Ben H.	
Benda, Wladyslaw T. (Wladyslaw Theodore), 1873-1948	http://id.loc.gov/authorities/names/n84028041
Bendel, Franz	http://id.loc.gov/authorities/names/n91051560
Benedek, Paul (Lyricist)	http://id.loc.gov/authorities/names/n2008075852
Benét, Rosemary, 1900-1962	http://id.loc.gov/authorities/names/n87865452
Benjamin, Bennie, 1907-1989	http://id.loc.gov/authorities/names/nr98022552
Benjamin, Park, 1809-1864	http://id.loc.gov/authorities/names/n88088808
Bennard, George, 1873-1958	http://id.loc.gov/authorities/names/no2003095913
Bennett, Dave	http://id.loc.gov/authorities/names/n88625759
Bennett, David, 1892-1990	http://id.loc.gov/authorities/names/n81139210
Bennett, George J. (George John), 1863-1930	http://id.loc.gov/authorities/names/no95019841
Bennett, Joe	http://id.loc.gov/authorities/names/n88100599
Bennett, John	http://id.loc.gov/authorities/names/n87811571
Bennett, Roy C.	http://id.loc.gov/authorities/names/n82063893
Bennett, Rube	http://id.loc.gov/authorities/names/no98073097
Bennett, Sanford Fillmore, 1836-1898	http://id.loc.gov/authorities/names/n95122357
Benoit, Geo.	http://id.loc.gov/authorities/names/n2013043936
Benoit, Georg von, 1841-1908	http://id.loc.gov/authorities/names/no2009011503
Bentley, Berenice Benson, 1887-1971	http://id.loc.gov/authorities/names/no00026741
Berbiguier, T. (Tranquille), 1782-1838	http://id.loc.gov/authorities/names/n86002059
Berens, Hermann, 1826-1880	http://id.loc.gov/authorities/names/no92032706
Bergantine, Borney, 1909-1954	http://id.loc.gov/authorities/names/no2004044204
Bergere, Roy, 1899-1969	http://id.loc.gov/authorities/names/no2008115449
Bergman, Alan	http://id.loc.gov/authorities/names/n83156022
Bergman, Marilyn	http://id.loc.gov/authorities/names/n83156023
Bériot, Ch. de (Charles), 1802-1870	http://id.loc.gov/authorities/names/n86859492
Berk, Morty, 1900-1955	http://id.loc.gov/authorities/names/nb2001020143
Berkeley, Reginald, 1890-1935	http://id.loc.gov/authorities/names/n83139979
Berle, Milton	http://id.loc.gov/authorities/names/n82214816
Berlin, Irving, 1888-1989	http://id.loc.gov/authorities/names/n50026116
Bernard, Al, 1888-1949	http://id.loc.gov/authorities/names/no97018627
Bernard, Felix, 1897-1944	http://id.loc.gov/authorities/names/no89003973
Bernard, Gus W.	
Bernard, Helen	
Bernie, Ben, 1891-1943	http://id.loc.gov/authorities/names/no89019116
Bernier, Buddy, 1910-	http://id.loc.gov/authorities/names/no2003014210
Bernstein, Leonard, 1918-1990	http://id.loc.gov/authorities/names/n50007704
Bernstein, Roger	http://id.loc.gov/authorities/names/no2007105039
Berry, Chuck	http://id.loc.gov/authorities/names/n82228079
Bertini, Henri, 1798-1876	http://id.loc.gov/authorities/names/n83127196
Bertoni, Ferdinando, 1725-1813	http://id.loc.gov/authorities/names/n83177836
Bertram, Bender.	
Berúmen, Ernesto	http://id.loc.gov/authorities/names/no2002079393
Besly, Maurice	http://id.loc.gov/authorities/names/no98015691
Best, Willie, 1916-1962	http://id.loc.gov/authorities/names/n87896360
Bestoff, Mabel	
Bestor, Don, 1889-1970	http://id.loc.gov/authorities/names/no94006821
Betjeman, John, 1906-1984	http://id.loc.gov/authorities/names/n80034100
Betti, Henri	http://id.loc.gov/authorities/names/n97872017
Beul, Artur, 1915-2010	http://id.loc.gov/authorities/names/nr97044972
Beyer, Ferdinand, 1803-1863	http://id.loc.gov/authorities/names/n81048157
Bible. Psalms, XXVII	http://id.loc.gov/authorities/names/nr99032006
Bibo, Irving	http://id.loc.gov/authorities/names/nr90006745
Biedermann, E. J. (Edward Julius), 1849-1933	http://id.loc.gov/authorities/names/no89004072
Biese, Paul	http://id.loc.gov/authorities/names/n2007089669
Bigard, Barney	http://id.loc.gov/authorities/names/n81072985
Bihari, Saul, 1920-1975	http://id.loc.gov/authorities/names/no2010074978
Bilbro, Mathilde	http://id.loc.gov/authorities/names/no93009028
Bilder, Robert	http://id.loc.gov/authorities/names/n2008080062
Biles	
Bill, Frank R.	
Bilstin, Youry	http://id.loc.gov/authorities/names/n97872027
Binder, Abraham Wolf, 1895-1966	http://id.loc.gov/authorities/names/n84012237
Bingham, Clifton, 1859-1913	http://id.loc.gov/authorities/names/n79062766
Bingham, Gordon	http://id.loc.gov/authorities/names/no2015163736
Bird, Elisha Brown	http://id.loc.gov/authorities/names/n2003075853
Bischoff, J. W. (John W.), 1850-1909	http://id.loc.gov/authorities/names/no98069966
Bishop, Henry R. (Henry Rowley), 1786-1855	http://id.loc.gov/authorities/names/n80145401
Bishop, Joe, 1907-1976	http://id.loc.gov/authorities/names/no00059007
Bitgood, Roberta, 1908-2007	http://id.loc.gov/authorities/names/no90008612
Bivens, Burke, 1903-1967	http://id.loc.gov/authorities/names/no2007125367
Bivins, Nathan	
Bizet, Georges, 1838-1875	http://id.loc.gov/authorities/names/n79116212
Black, Ben, 1889-1950	http://id.loc.gov/authorities/names/no2003014213
Black, Don	http://id.loc.gov/authorities/names/n87831221
Black, Johnny S.	http://id.loc.gov/authorities/names/no2002106324
Black, W. R.	
Blackburn, Bryan	http://id.loc.gov/authorities/names/n2008079173
Blackburn, Johnny	http://id.loc.gov/authorities/names/no98034893
Blackburn, Tom, 1912-1994	http://id.loc.gov/authorities/names/n87887357
Blair, Bobby	http://id.loc.gov/authorities/names/no2008130192
Blake, Charles D. (Charles Dupee), 1847-1903	http://id.loc.gov/authorities/names/nr94024537
Blake, Charlotte	http://id.loc.gov/authorities/names/nr2006014829
Blake, Dorothy Gaynor	http://id.loc.gov/authorities/names/no90009631
Blake, Eubie, 1887-1983	http://id.loc.gov/authorities/names/n80158665
Blake, James W.	http://id.loc.gov/authorities/names/n79073181
Blake, Milton D.	
Blake, William, 1757-1827	http://id.loc.gov/authorities/names/n78095331
Blamphin, Charles, -1895	http://id.loc.gov/authorities/names/nr95047240
Blanchard, Robert Igoe	
Bland, James A. (James Allen), 1854-1911	http://id.loc.gov/authorities/names/no90005133
Blane, Ralph	http://id.loc.gov/authorities/names/n84040775
Blangini, Felice, 1781-1841	http://id.loc.gov/authorities/names/nr93023631
Blaufuss, Walter, 1883-1945	http://id.loc.gov/authorities/names/nr97022814
Bledlowe, John	
Bleyer, Archie	http://id.loc.gov/authorities/names/n93005887
Bliss, Helen	http://id.loc.gov/authorities/names/n2008023173
Bliss, Paul, 1872-1933	http://id.loc.gov/authorities/names/no97015574
Block, Frederick	http://id.loc.gov/authorities/names/n88037503
Block, Martin, 1903-1967	http://id.loc.gov/authorities/names/n85222837
Blon, Franz von, 1861-1945	http://id.loc.gov/authorities/names/n89642533
Bloom, Evelyn, -1941	http://id.loc.gov/authorities/names/no2010090838
Bloom, Rube	http://id.loc.gov/authorities/names/n84202542
Blossom, Henry, 1866-1919	http://id.loc.gov/authorities/names/no93009988
Blount, Charles B.	http://id.loc.gov/authorities/names/no00071877
Blumenstengel, A.	http://id.loc.gov/authorities/names/n92073395
Blumenthal, Jacques	http://id.loc.gov/authorities/names/n89639002
Blumenthal, Jacques	http://id.loc.gov/authorities/names/n89639002
Saenger, Gustav, 1865-1935	http://id.loc.gov/authorities/names/n88006194
Bocage, Peter E., 1887-1967	http://id.loc.gov/authorities/names/nb2001020115
Boccaccio, Giovanni, 1313-1375	http://id.loc.gov/authorities/names/n78087605
Bock, Jerry	http://id.loc.gov/authorities/names/n83042588
Bockmühl, Robert Emil, 1822-1881	http://id.loc.gov/authorities/names/no88005088
Boehnlein, Victor G.	
Boelitz, Martin, 1874-1921	http://id.loc.gov/authorities/names/no93018965
Boëllmann, Léon, 1862-1897	http://id.loc.gov/authorities/names/n81015574
Boeringer, Pierre N.	
Boguslawski, Moissaye	http://id.loc.gov/authorities/names/no2011042998
Bohm, Carl, 1844-1920	http://id.loc.gov/authorities/names/n87144576
Böhm, Theobald, 1794-1881	http://id.loc.gov/authorities/names/n81140264
Bohme, Dave	http://id.loc.gov/authorities/names/no2010156478
Böhme, H.	http://id.loc.gov/authorities/names/n80133654
Boieldieu, A. (Adrien), 1775-1834	http://id.loc.gov/authorities/names/n81015517
Boito, Arrigo, 1842-1918	http://id.loc.gov/authorities/names/n80010162
Bolin, William	
Bollaert, A.	http://id.loc.gov/authorities/names/n2014032559
Bollman, Henry, 1823-1890	http://id.loc.gov/authorities/names/no2004040873
Bolton, Guy, 1884-1979	http://id.loc.gov/authorities/names/n83153185
Bonnell, Otto	http://id.loc.gov/authorities/names/n2008068438
Bonx, Nat, 1900-1950	http://id.loc.gov/authorities/names/no2008155570
Book of Ruth, I, 16-17	
Boone, George	
Boone, Pat	http://id.loc.gov/authorities/names/n81090007
Borch, Gaston, 1871-1926	http://id.loc.gov/authorities/names/no97058554
Boretz, Allen, 1900-1986	http://id.loc.gov/authorities/names/no90009471
Boroughs, Norman	
Boscovitz, Frederick	
Bostwick, Helen L., 1826-1907	http://id.loc.gov/authorities/names/n2012051409
Boswell, John	http://id.loc.gov/authorities/names/nb2011006455
Bosworth, H. M.	http://id.loc.gov/authorities/names/n2008068456
Botsford, George, 1874-1949	http://id.loc.gov/authorities/names/no96048125
Böttcher, Adolph	
Boulanger, Georges	http://id.loc.gov/authorities/names/n97877524
Boulton, John	http://id.loc.gov/authorities/names/n95802364
Bour, Nellie Melise	
Bourdillon, Francis William, 1852-1921	http://id.loc.gov/authorities/names/n83047790
Bourdon, Rosario, 1885-1961	http://id.loc.gov/authorities/names/n85006135
Bourget, Paul, 1852-1935	http://id.loc.gov/authorities/names/n50042142
Boutelje, Phil, 1895-1979	http://id.loc.gov/authorities/names/n87911792
Bowers, Frederic V., 1874-1961	http://id.loc.gov/authorities/names/n93025534
Bowers, Robert Hood, 1877-1941	http://id.loc.gov/authorities/names/n93018872
Bowles, Fred G.	http://id.loc.gov/authorities/names/no97066864
Bowman, Brooks, 1913-1937	http://id.loc.gov/authorities/names/nb2001016487
Bowman, Euday L. (Euday Louis), 1887-1949	http://id.loc.gov/authorities/names/no92032491
Box, Elton	http://id.loc.gov/authorities/names/nb99182297
Boyd, Ann	
Boyden, George L., 1878-1942	http://id.loc.gov/authorities/names/no2006072937
Boyer, Lucien, 1876-1942	http://id.loc.gov/authorities/names/no2003039612
Bradley, Ben J.	http://id.loc.gov/authorities/names/nb99181437
Bradley, J. F.	
Braga, Gaetano, 1829-1907	http://id.loc.gov/authorities/names/n88665531
Bragg, E. B.	
Braham, David, 1838-1905	http://id.loc.gov/authorities/names/n86113834
Braham, Philip, 1881-1934	http://id.loc.gov/authorities/names/n97853155
Brahe, May H. (May Hannah), 1885-1956	http://id.loc.gov/authorities/names/nr89004393
Brahms, Johannes, 1833-1897	http://id.loc.gov/authorities/names/n79077221
Brand, Louis W.	http://id.loc.gov/authorities/names/n2015027731
